团购名,店名,团购活动ID,团购介绍,购买人数,团购评价,评价人数,到期时间,团购价,市场价,地址,团购内容,备注,购买须知
壹分之贰豪华生日派对套餐,壹分之贰聚会吧桌游轰趴馆(旗舰店),38744470,仅售880元价值7342元豪华生日派对聚会桌游轰趴夜场10小时（通宵包场）！免费WiFi需预约！,0,暂无评价,暂无评价,2018/8/10,,,【西安市雁塔区小寨东路11号壹又贰分之壹B楼1003】,【内容: 豪华主题场地 规格: 10小时 价格: 600元】【内容: 轰趴场地布置 规格: 10小时 价格: 600元】【内容: 私人自助厨房 规格: 10小时 价格: 400元】【内容: 自助火锅（设备） 规格: 10小时 价格: 100元】【内容: 自助烧烤（设备） 规格: 10小时 价格: 100元】【内容: 自助烹饪（设备） 规格: 10小时 价格: 100元】【内容: 自助调酒（设备） 规格: 10小时 价格: 100元】【内容: 美式桌球 规格: 10小时 价格: 200元】【内容: 美式桌上足球 规格: 10小时 价格: 200元】【内容: 桌面冰壶 规格: 10小时 价格: 200元】【内容: 乒乓球娱乐 规格: 10小时 价格: 200元】【内容: 50寸KTV液晶显示器 规格: 10小时 价格: 100元】【内容: KTV豪华包房 规格: 10小时 价格: 300元】【内容: 自动棋牌（包间） 规格: 10小时 价格: 300元】【内容: X-box体感游戏 规格: 10小时 价格: 300元】【内容: X-box手柄游戏 规格: 10小时 价格: 200元】【内容: VR虚拟现实体验 规格: 10小时 价格: 200元】【内容: VR虚拟射击体验 规格: 10小时 价格: 200元】【内容: 42游戏液晶显示器 规格: 10小时 价格: 100元】【内容: 小霸王游戏机 规格: 10小时 价格: 100元】【内容: 桌游畅玩 规格: 10小时 价格: 750元】【内容: 小丑服饰装扮 规格: 10小时 价格: 200元】【内容: 桌游主持讲解 规格: 10小时 价格: 200元】【内容: 百兆光纤WIFi 规格: 10小时 价格: 100元】【内容: 120寸高清投影 规格: 10小时 价格: 200元】【内容: 大厅3D环绕音效 规格: 10小时 价格: 160元】【内容: 网络直播 规格: 10小时 价格: 200元】【内容: 球赛直播 规格: 10小时 价格: 200元】【内容: 电影直播 规格: 10小时 价格: 200元】【内容: 吉他娱乐 规格: 10小时 价格: 100元】【内容: 喝酒游戏道具 规格: 10小时 价格: 100元】【内容: 德州.扑克 规格: 10小时 价格: 60元】【内容: 视频PPT播放 规格: 10小时 价格: 200元】【内容: 啤酒 规格: 6瓶 价格: 72元】,随便退,"【有效期2017年06月07日至2018年08月10日】
【可用时间周末法定节假日通用08:00 - 22:00】
【预约提示请至少提前2小时预约预约位逾期不保留请准时】
【使用规则团购用户暂不享受店内其他优惠】
【温馨提示提供收费停车位停车位信息详询商户提供免费WiFi】
【有效期2017年06月07日至2018年08月10日】
【可用时间周末法定节假日通用08:00 - 22:00】
【预约提示请至少提前2小时预约预约位逾期不保留请准时】
【使用规则团购用户暂不享受店内其他优惠】
【温馨提示提供收费停车位停车位信息详询商户提供免费WiFi】
"
壹分之贰豪华棋牌包间,壹分之贰聚会吧桌游轰趴馆(旗舰店),38632123,仅售98元价值240元豪华棋牌包间4小时套餐（4人）1份！免费WiFi！,0,暂无评价,暂无评价,2018/8/10,,,【西安市雁塔区小寨东路11号壹又贰分之壹B楼1003】,【内容: 豪华棋牌包间4小时套餐（4人） 规格: 1份 价格: 240元】,随便退,"【有效期2017年05月26日至2018年08月10日】
【可用时间周末法定节假日通用08:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠注：本店谢绝自带酒水饮料其他均可自带；定场次需提前与商户沟通协商；每张团购券可用15人次多出人数请与商家联系；如需做饭请自带食材调料和大厨；KTV使用时间8：00--22：00；请各位认真阅读以上内容合理安排娱乐时间如有疑问请联系商家；】
【温馨提示提供收费停车位停车位信息详询商户提供免费WiFi】
【有效期2017年05月26日至2018年08月10日】
【可用时间周末法定节假日通用08:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠注：本店谢绝自带酒水饮料其他均可自带；定场次需提前与商户沟通协商；每张团购券可用15人次多出人数请与商家联系；如需做饭请自带食材调料和大厨；KTV使用时间8：00--22：00；请各位认真阅读以上内容合理安排娱乐时间如有疑问请联系商家；】
【温馨提示提供收费停车位停车位信息详询商户提供免费WiFi】
"
壹分之贰豪华生日派对套餐,壹分之贰聚会吧桌游轰趴馆(旗舰店),38744514,仅售480元价值3685元豪华生日派对聚会桌游轰趴5小时（包场）！免费WiFi需预约！,0,暂无评价,暂无评价,2018/8/10,,,【西安市雁塔区小寨东路11号壹又贰分之壹B楼1003】,【内容: 豪华主题场地 规格: 5小时 价格: 300元】【内容: 轰趴场地布置 规格: 5小时 价格: 300元】【内容: 私人自助厨房 规格: 5小时 价格: 200元】【内容: 自助火锅（设备） 规格: 5小时 价格: 50元】【内容: 自助烧烤（设备） 规格: 5小时 价格: 50元】【内容: 自助烹饪（设备） 规格: 5小时 价格: 50元】【内容: 自助调酒（设备） 规格: 5小时 价格: 50元】【内容: 美式桌球 规格: 5小时 价格: 150元】【内容: 美式桌上足球 规格: 5小时 价格: 100元】【内容: 桌面冰壶 规格: 5小时 价格: 100元】【内容: 乒乓球娱乐 规格: 5小时 价格: 100元】【内容: 50寸KTV液晶显示器 规格: 5小时 价格: 50元】【内容: KTV豪华包房 规格: 5小时 价格: 150元】【内容: 自动棋牌（包间） 规格: 5小时 价格: 150元】【内容: X-box体感游戏 规格: 5小时 价格: 150元】【内容: X-box手柄游戏 规格: 5小时 价格: 100元】【内容: VR虚拟现实体验 规格: 5小时 价格: 100元】【内容: VR虚拟射击体验 规格: 5小时 价格: 100元】【内容: 42游戏液晶显示器 规格: 5小时 价格: 50元】【内容: 小霸王游戏机 规格: 5小时 价格: 50元】【内容: 桌游畅玩 规格: 5小时 价格: 375元】【内容: 小丑服饰装扮 规格: 5小时 价格: 100元】【内容: 桌游主持讲解 规格: 5小时 价格: 100元】【内容: 百兆光纤WIFi 规格: 5小时 价格: 50元】【内容: 120寸高清投影 规格: 5小时 价格: 100元】【内容: 大厅3D环绕音效 规格: 5小时 价格: 80元】【内容: 网络直播 规格: 5小时 价格: 100元】【内容: 球赛直播 规格: 5小时 价格: 100元】【内容: 电影直播 规格: 5小时 价格: 100元】【内容: 吉他娱乐 规格: 5小时 价格: 50元】【内容: 喝酒游戏道具 规格: 5小时 价格: 50元】【内容: 德州.扑克 规格: 5小时 价格: 30元】【内容: 视屏ppt播放 规格: 5小时 价格: 100元】,随便退,"【有效期2017年06月07日至2018年08月10日】
【可用时间周末法定节假日通用08:00 - 22:00】
【预约提示请至少提前2小时预约预约位逾期不保留请准时】
【使用规则团购用户暂不享受店内其他优惠】
【温馨提示提供收费停车位停车位信息详询商户提供免费WiFi】
【有效期2017年06月07日至2018年08月10日】
【可用时间周末法定节假日通用08:00 - 22:00】
【预约提示请至少提前2小时预约预约位逾期不保留请准时】
【使用规则团购用户暂不享受店内其他优惠】
【温馨提示提供收费停车位停车位信息详询商户提供免费WiFi】
"
396元1-15人服务,壹分之贰聚会吧桌游轰趴馆(旗舰店),13377118,仅售396元价值2575元台球优享套餐！免费WiFi需预约！,8,5,3,2018/9/4,396,2575,【西安市雁塔区小寨东路11号壹又贰分之壹B楼1003】,【内容: 复式结构场地 规格: 1次 价格: 200元】【内容: 场地布置 规格: 1次 价格: 300元】【内容: 私人自助厨房 规格: 1次 价格: 100元】【内容: 自助火锅（设备） 规格: 1次 价格: 50元】【内容: 自助烧烤（设备） 规格: 1次 价格: 50元】【内容: 自助烹饪（设备） 规格: 1次 价格: 50元】【内容: 美式桌球 规格: 1次 价格: 100元】【内容: 乒乓球 规格: 1次 价格: 100元】【内容: 桌面冰壶 规格: 1次 价格: 100元】【内容: KTV包房 规格: 5小时 价格: 150元】【内容: 自动棋牌（阳台） 规格: 5小时 价格: 150元】【内容: 自动棋牌（包间） 规格: 5小时 价格: 150元】【内容: X-box体感游戏 规格: 5小时 价格: 150元】【内容: 桌游 规格: 15份 价格: 375元】【内容: 桌游主持讲解 规格: 1次 价格: 100元】【内容: 百兆光纤WIFi 规格: 1次 价格: 50元】【内容: 高清大屏投影 规格: 1次 价格: 100元】【内容: 网络直播 规格: 1次 价格: 100元】【内容: 球赛直播 规格: 1次 价格: 100元】【内容: 电影直播 规格: 1次 价格: 100元】,随便退,"【有效期2016年05月06日至2018年09月04日】
【可用时间周末法定节假日通用24小时接待】
【预约提示请至少提前1小时预约预约位逾期不保留请准时】
【使用规则团购用户暂不享受店内其他优惠】
【温馨提示提供免费WiFi】
【有效期2016年05月06日至2018年09月04日】
【可用时间周末法定节假日通用24小时接待】
【预约提示请至少提前1小时预约预约位逾期不保留请准时】
【使用规则团购用户暂不享受店内其他优惠】
【温馨提示提供免费WiFi】
"
六婆串串香火锅100代金券,六婆串串香火锅,38767590,仅售85元价值100元代金券！免费停车免费WiFi！,6,暂无评价,暂无评价,2018/8/30,85,100,【西安市雁塔区长丰园小区12号楼7号商铺】【西安市周至县中心街隆发云塔广场C016号】,【内容: 代金券 规格: 1张 价格: 100元】,随便退,"【有效期2017年06月09日至2018年08月30日】
【可用时间周末法定节假日通用09:30 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间代金券不兑现、不找零超出部分到店另付】
【温馨提示提供免费停车位提供免费WiFi本单堂食外带均可商家不提供餐后打包服务】
【有效期2017年06月09日至2018年08月30日】
【可用时间周末法定节假日通用09:30 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间代金券不兑现、不找零超出部分到店另付】
【温馨提示提供免费停车位提供免费WiFi本单堂食外带均可商家不提供餐后打包服务】
"
1加n聚会轰趴火锅餐套餐,1+N生日求婚聚会PSVR轰趴馆,39142701,仅售488元价值770元火锅套餐23选23！免费WiFi需预约！,0,暂无评价,暂无评价,2018/8/21,488,770,【西安市雁塔区长安中路小寨金莎国际B座908】,【内容: 特色鸳鸯锅底 规格: 1份 价格: 68元】,随便退,"【有效期2017年07月21日至2018年08月21日】
【可用时间周末法定节假日通用09:00 - 次日00:00】
【预约提示请至少提前1天预约预约位逾期不保留请准时】
【使用规则团购用户暂不享受店内其他优惠限15人使用】
【温馨提示无停车位提供免费WiFi】
【有效期2017年07月21日至2018年08月21日】
【可用时间周末法定节假日通用09:00 - 次日00:00】
【预约提示请至少提前1天预约预约位逾期不保留请准时】
【使用规则团购用户暂不享受店内其他优惠限15人使用】
【温馨提示无停车位提供免费WiFi】
"
1加n5小时包场聚会套餐,1+N生日求婚聚会PSVR轰趴馆,39142631,仅售498元价值4560元包场5小时聚会套餐11选11！免费WiFi需预约！,1,暂无评价,暂无评价,2018/8/21,498,4560,【西安市雁塔区长安中路小寨金莎国际B座908】,【内容: 生日场地布置 规格: 5小时 价格: 500元】,随便退,"【有效期2017年07月21日至2018年08月21日】
【可用时间周末法定节假日通用09:00 - 次日00:00】
【预约提示请至少提前1天预约预约位逾期不保留请准时】
【使用规则团购用户暂不享受店内其他优惠限15人使用】
【温馨提示无停车位提供免费WiFi】
【有效期2017年07月21日至2018年08月21日】
【可用时间周末法定节假日通用09:00 - 次日00:00】
【预约提示请至少提前1天预约预约位逾期不保留请准时】
【使用规则团购用户暂不享受店内其他优惠限15人使用】
【温馨提示无停车位提供免费WiFi】
"
1加n聚会百威酒水套餐,1+N生日求婚聚会PSVR轰趴馆,39134465,仅售398元价值540元百威酒水套餐3打！免费WiFi需预约！,0,暂无评价,暂无评价,2018/8/21,398,540,【西安市雁塔区长安中路小寨金莎国际B座908】,【内容: 百威酒水套餐 规格: 3打 价格: 540元】,随便退,"【有效期2017年07月21日至2018年08月21日】
【可用时间周末法定节假日通用09:00 - 次日00:00】
【预约提示请至少提前1天预约预约位逾期不保留请准时】
【使用规则团购用户暂不享受店内其他优惠】
【温馨提示无停车位提供免费WiFi】
【有效期2017年07月21日至2018年08月21日】
【可用时间周末法定节假日通用09:00 - 次日00:00】
【预约提示请至少提前1天预约预约位逾期不保留请准时】
【使用规则团购用户暂不享受店内其他优惠】
【温馨提示无停车位提供免费WiFi】
"
嘛嘛香30元双人餐,嘛嘛香(永乐路店),39116697,仅售30元价值49元双人餐！需预约！,0,暂无评价,暂无评价,2018/8/14,30,49,【西安市新城区永乐路西口291号新安仁坊小区底商】,【内容: 素串 规格: 15串 价格: 15元】【内容: 荦串 规格: 15串 价格: 30元】【内容: 米饭 规格: 2份 价格: 4元】,随便退,"【有效期2017年07月18日至2018年08月14日】
【可用时间周末法定节假日通用11:30 - 21:59】
【预约提示请至少提前2小时预约详询商家】
【使用规则团购用户还可享受优惠请详询商家每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单堂食外带均可商家不提供餐后打包服务】
【有效期2017年07月18日至2018年08月14日】
【可用时间周末法定节假日通用11:30 - 21:59】
【预约提示请至少提前2小时预约详询商家】
【使用规则团购用户还可享受优惠请详询商家每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单堂食外带均可商家不提供餐后打包服务】
"
嘛嘛香11元单人餐,嘛嘛香(永乐路店),39117065,仅售11元价值13元单人餐！,0,暂无评价,暂无评价,2018/8/14,11,13,【西安市新城区永乐路西口291号新安仁坊小区底商】,【内容: 凉皮 规格: 1份 价格: 5元】【内容: 孜然炒肉夹馍 规格: 1份 价格: 6元】【内容: 冰峰 规格: 1瓶 价格: 2元】,随便退,"【有效期2017年07月19日至2018年08月14日】
【可用时间周末法定节假日通用11:30 - 21:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单堂食外带均可商家免费提供餐后打包服务】
【有效期2017年07月19日至2018年08月14日】
【可用时间周末法定节假日通用11:30 - 21:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单堂食外带均可商家免费提供餐后打包服务】
"
